Wall time,Step,Value
1578701022.7981,59,0.21875
1578701024.7998297,189,0.25
1578701025.682086,249,0.28125
1578701027.9856102,409,0.1875
1578701028.2676144,429,0.375
1578701028.7797775,459,0.25
1578701029.944847,539,0.34375
1578701030.3984723,569,0.4375
1578701032.7490094,719,0.53125
1578701033.1615405,749,0.4375
1578701035.9387755,949,0.5
1578701037.1770802,1029,0.34375
1578701037.9050708,1069,0.375
1578701041.5330088,1269,0.4375
1578701043.3065891,1399,0.65625
1578701045.34284,1559,0.4375
1578701048.4848955,1589,0.53125
1578701049.643128,1679,0.59375
1578701051.4071293,1789,0.59375
1578701052.0489957,1839,0.375
1578701052.281385,1859,0.4375
1578701052.3935573,1869,0.28125
1578701052.845772,1909,0.53125
1578701055.10173,2079,0.4375
1578701057.2841818,2239,0.5625
1578701058.0982234,2299,0.5625
1578701058.9821913,2349,0.5625
1578701061.4877465,2499,0.65625
1578701062.3104067,2559,0.71875
1578701063.0038466,2609,0.65625
1578701064.020584,2679,0.53125
1578701064.665139,2719,0.75
1578701064.969149,2739,0.625
1578701067.8449621,2929,0.5625
1578701070.1281402,3089,0.75
1578701070.3397694,3109,0.53125
1578701073.8382077,3189,0.625
1578701075.272292,3309,0.625
1578701076.2371967,3399,0.78125
1578701077.1067452,3479,0.65625
1578701078.988798,3639,0.6875
1578701079.4748268,3679,0.4375
1578701088.378061,4219,0.71875
1578701088.5438123,4229,0.65625
1578701091.3809485,4399,0.6875
1578701091.829517,4429,0.5625
1578701092.245599,4459,0.65625
1578701094.3029182,4609,0.625
1578701094.7155745,4639,0.6875
1578701094.8611903,4649,0.6875
1578701098.8892317,4749,0.6875
1578701101.3554113,4919,0.75
1578701101.6441844,4939,0.75
1578701104.8012812,5149,0.71875
1578701105.2616067,5179,0.78125
1578701106.8416178,5319,0.5625
1578701107.625362,5369,0.5625
1578701109.8393238,5579,0.625
1578701110.4240851,5639,0.59375
1578701111.3720033,5739,0.6875
1578701111.9267077,5799,0.75
1578701112.104375,5819,0.71875
1578701112.5425303,5869,0.6875
1578701112.6278255,5879,0.65625
1578701113.9548268,6029,0.71875
1578701115.5935335,6209,0.65625
1578701115.7687995,6229,0.71875
1578701118.1726034,6349,0.65625
1578701118.8286812,6419,0.71875
1578701118.9162104,6429,0.75
1578701119.1044047,6449,0.65625
1578701119.3859322,6479,0.6875
1578701119.575179,6499,0.75
1578701120.7216747,6619,0.625
1578701121.6585774,6719,0.71875
1578701122.8589134,6839,0.71875
1578701123.3606164,6889,0.59375
1578701125.7652392,7149,0.8125
1578701126.1201408,7189,0.75
1578701126.5267763,7229,0.625
1578701126.655645,7239,0.75
1578701127.4755216,7309,0.6875
1578701128.361385,7399,0.625
1578701128.7484462,7439,0.59375
1578701129.1286943,7479,0.75
1578701129.6217365,7529,0.75
1578701130.027262,7569,0.6875
1578701130.9364328,7659,0.78125
1578701131.3472795,7699,0.875
1578701131.5378249,7719,0.65625
1578701131.7435203,7739,0.78125
1578701132.4353123,7809,0.65625
1578701132.9309633,7859,0.6875
1578701133.0952013,7879,0.59375
1578701137.6698034,7929,0.84375
1578701137.8865168,7949,0.84375
1578701138.3101308,7989,0.84375
1578701138.7102466,8029,0.65625
1578701139.352463,8089,0.59375
1578701139.4576917,8099,0.6875
1578701141.919416,8329,0.71875
1578701142.320623,8369,0.6875
1578701145.6998007,8699,0.78125
1578701146.4324253,8769,0.6875
1578701147.1095748,8829,0.4375
1578701148.479705,8969,0.65625
1578701148.8644912,9009,0.71875
1578701149.5349288,9079,0.625
1578701149.7518692,9099,0.6875
1578701150.3171148,9159,0.84375
1578701150.4961853,9179,0.90625
1578701151.7743413,9319,0.625
1578701151.8617208,9329,0.75
1578701152.8296492,9429,0.71875
1578701153.0762184,9459,0.78125
1578701155.350926,9549,0.78125
1578701155.7186558,9589,0.78125
1578701156.1020544,9629,0.875
1578701157.041541,9719,0.8125
1578701157.1579225,9729,0.75
1578701157.7895696,9789,0.625
1578701157.892337,9799,0.65625
1578701158.4625235,9849,0.65625
1578701159.890588,9969,0.71875
1578701160.5152028,10029,0.78125
1578701160.8138475,10059,0.75
1578701161.65974,10149,0.75
1578701162.6707957,10259,0.78125
1578701164.426973,10449,0.875
1578701165.706555,10579,0.71875
1578701166.2951994,10639,0.875
1578701166.599717,10669,0.75
1578701166.866328,10689,0.59375
1578701167.3211844,10729,0.71875
1578701168.1194148,10789,0.65625
1578701168.610582,10839,0.75
1578701169.6161506,10939,0.75
1578701170.220999,10999,0.84375
1578701170.656141,11049,0.84375
1578701173.0059276,11149,0.625
1578701173.4639964,11199,0.78125
1578701177.2712402,11569,0.78125
1578701177.622923,11609,0.78125
1578701177.7099717,11619,0.96875
1578701177.7966745,11629,0.71875
1578701179.4744952,11809,0.71875
1578701180.6839225,11929,0.6875
1578701180.7760384,11939,0.75
1578701181.3415482,11999,0.8125
1578701181.986102,12069,0.71875
1578701184.3585985,12329,0.90625
1578701184.5443618,12349,0.78125
1578701185.5808907,12449,0.78125
1578701186.5919075,12559,0.78125
1578701186.8950052,12589,0.75
1578701187.1494403,12619,0.8125
1578701191.3683538,12819,0.84375
1578701192.0779085,12879,0.78125
1578701192.9324753,12949,0.6875
1578701193.6435668,13009,0.78125
1578701194.8740423,13109,0.65625
1578701195.6296713,13169,0.8125
1578701195.9861076,13199,0.8125
1578701197.3349931,13309,0.6875
1578701197.6923385,13339,0.84375
1578701198.0503087,13369,0.75
1578701198.1637769,13379,0.78125
1578701203.6448147,13859,0.75
1578701203.96663,13889,0.78125
1578701204.2479112,13919,0.84375
1578701204.3378186,13929,0.8125
1578701206.4090893,14149,0.8125
1578701208.907758,14269,0.8125
1578701209.1119664,14289,0.8125
1578701209.477876,14329,0.8125
1578701209.84004,14369,0.875
1578701210.2015698,14409,0.71875
1578701212.6228426,14659,0.65625
1578701212.725207,14669,0.8125
1578701213.7633607,14779,0.6875
1578701214.4979644,14859,0.75
1578701214.8687453,14899,0.84375
1578701215.0525575,14919,0.75
1578701216.9626176,15089,0.875
1578701218.4034922,15239,0.8125
1578701218.7900128,15279,0.875
1578701221.304826,15529,0.75
1578701222.8667543,15689,0.6875
1578701222.9687364,15699,0.8125
1578701228.2295008,15849,0.84375
1578701228.8665433,15889,0.71875
1578701229.828709,15979,0.8125
1578701230.5330815,16049,0.90625
1578701230.6300507,16059,0.8125
1578701231.9091141,16189,0.6875
1578701232.8028314,16279,0.71875
1578701233.2879536,16329,0.71875
1578701233.7358708,16379,0.75
1578701234.0112128,16409,0.78125
1578701234.4941318,16459,0.9375
1578701234.7833753,16489,0.78125
1578701235.9243069,16609,0.71875
1578701236.620744,16689,0.90625
1578701237.2845185,16759,0.6875
1578701237.9435916,16829,0.71875
1578701238.7480972,16919,0.71875
1578701239.107508,16959,0.78125
1578701239.2015033,16969,0.84375
1578701239.3056393,16979,0.75
1578701239.4933023,16999,0.78125
1578701239.7835252,17029,0.8125
1578701240.4625688,17099,0.78125
1578701241.3581774,17189,0.8125
1578701242.315646,17289,0.8125
1578701242.696407,17329,0.75
1578701242.8751073,17349,0.78125
1578701243.108843,17379,0.71875
1578701244.9995348,17429,0.8125
1578701245.3132193,17459,0.75
1578701245.4141555,17469,0.84375
1578701245.5103,17479,0.6875
1578701247.575662,17669,0.71875
1578701248.4286244,17759,0.8125
1578701249.101097,17819,0.78125
1578701249.7866828,17889,0.8125
1578701249.9036355,17899,0.6875
1578701250.829676,17989,0.71875
1578701251.5382,18059,0.9375
1578701252.9351935,18179,0.84375
1578701253.9041522,18269,0.8125
1578701254.3024757,18309,0.6875
1578701255.2031412,18409,0.875
1578701255.5841563,18449,0.875
1578701256.4617174,18539,0.71875
1578701257.8706727,18669,0.78125
1578701258.1645606,18699,0.8125
1578701258.7539914,18759,0.65625
1578701258.955011,18779,0.84375
1578701263.6427448,19119,0.71875
1578701264.1936038,19179,0.90625
1578701265.7424896,19349,0.75
1578701265.938639,19369,0.84375
1578701266.138003,19389,0.84375
1578701266.7638474,19449,0.875
1578701267.2538476,19479,0.8125
1578701267.5106845,19499,0.875
1578701269.1649845,19679,0.875
1578701270.4494898,19819,0.84375
1578701270.6250603,19839,0.875
1578701272.2654505,20019,0.8125
1578701272.6352122,20059,0.6875
1578701273.3613136,20139,0.96875
1578701274.9420276,20309,0.71875
1578701275.5080948,20369,0.75
1578701279.0679529,20609,0.6875
1578701280.1133566,20729,0.9375
1578701280.2055511,20739,0.90625
1578701280.4890304,20769,0.78125
1578701280.5780065,20779,0.90625
1578701280.7686405,20799,0.84375
1578701280.9610586,20819,0.75
1578701281.346427,20859,0.8125
1578701281.7267594,20899,0.6875
1578701282.1748576,20949,0.71875
1578701282.3503623,20969,0.8125
1578701283.6435215,21119,0.9375
1578701287.003832,21459,0.90625
1578701287.3875175,21499,0.84375
1578701287.6119483,21519,0.84375
1578701288.0847704,21569,0.875
1578701288.9181187,21659,0.6875
1578701289.6517255,21739,0.8125
1578701290.0015702,21779,0.8125
1578701290.9662433,21879,0.8125
1578701291.175214,21899,0.75
1578701291.3486786,21919,0.71875
1578701291.4350116,21929,0.6875
1578701291.7716517,21969,0.8125
1578701292.0310643,21999,0.8125
1578701292.7656903,22079,0.71875
1578701293.0907276,22119,0.84375
1578701295.912477,22259,0.78125
1578701296.6837595,22319,0.84375
1578701297.2199597,22369,0.6875
1578701297.3599641,22379,0.875
1578701297.586584,22399,0.9375
1578701297.9310882,22429,0.78125
1578701298.1333382,22449,0.59375
1578701298.353764,22469,0.75
1578701298.458727,22479,0.78125
1578701299.1225529,22549,0.875
1578701299.4114864,22579,0.875
1578701299.9042091,22629,0.84375
1578701301.705909,22819,0.84375
1578701302.5908415,22919,0.875
1578701303.1307087,22979,0.84375
1578701303.6770446,23039,0.90625
1578701304.0410748,23079,0.71875
1578701304.1522462,23089,0.8125
1578701305.1912897,23199,0.78125
1578701305.2907064,23209,0.78125
1578701306.7284038,23359,0.78125
1578701307.7593863,23459,0.84375
1578701308.5928369,23549,0.71875
1578701314.303907,23719,0.9375
1578701316.3418148,23899,0.71875
1578701316.4452443,23909,0.65625
1578701316.72995,23929,0.875
1578701317.7959733,24029,0.875
1578701318.1728187,24069,0.875
1578701319.9995606,24259,0.78125
1578701321.046465,24369,0.6875
1578701321.863905,24449,0.90625
1578701322.4762702,24509,0.875
1578701322.5609722,24519,0.90625
1578701322.7446394,24539,0.96875
1578701322.9328163,24559,0.75
1578701323.3945332,24609,0.90625
1578701325.6956773,24859,0.84375
1578701325.7932942,24869,0.8125
1578701326.7962015,24969,0.8125
1578701326.9849713,24989,0.96875
1578701327.4968576,25039,0.8125
1578701328.8888226,25179,0.8125
1578701329.4976084,25239,0.65625
1578701331.5095007,25309,0.75
1578701331.706981,25329,0.84375
1578701333.0894496,25479,0.78125
1578701333.4556856,25519,0.8125
1578701333.6429858,25539,0.8125
1578701334.8179889,25669,0.84375
1578701335.9157562,25789,0.8125
1578701337.2485945,25909,0.875
1578701337.3603878,25919,0.875
1578701337.4587984,25929,0.78125
1578701338.2151914,26009,0.9375
1578701338.8047912,26069,0.84375
1578701340.4705126,26239,0.6875
1578701341.0345685,26299,0.90625
1578701341.1252081,26309,0.75
1578701341.8671396,26389,0.875
1578701342.440391,26449,0.875
1578701343.005513,26509,0.59375
1578701343.463341,26559,0.71875
1578701345.5929275,26789,0.8125
1578701345.7813568,26809,0.8125
1578701346.1959114,26859,0.6875
1578701348.1330545,26909,0.875
1578701349.3254876,27039,0.8125
1578701349.9644277,27109,0.75
1578701351.3813107,27259,0.78125
1578701352.481082,27379,0.90625
1578701352.7836564,27409,0.65625
1578701354.1392908,27549,0.96875
1578701354.231758,27559,0.6875
1578701354.4286146,27579,0.90625
1578701357.5316577,27899,0.875
1578701357.620871,27909,0.8125
1578701357.7303681,27919,0.78125
1578701358.4444072,27989,0.75
1578701359.4638426,28099,0.90625
1578701360.8200517,28249,0.90625
1578701361.0850492,28279,0.71875
1578701361.270085,28299,0.84375
1578701365.4640195,28599,0.90625
1578701366.767655,28729,0.78125
1578701368.0255423,28819,0.84375
1578701369.0405738,28909,0.90625
1578701369.7928836,28969,0.84375
1578701370.1495976,29009,0.875
1578701371.7213173,29179,0.8125
1578701371.913746,29199,0.875
1578701372.0020874,29209,0.90625
1578701372.0934913,29219,0.90625
1578701373.1722078,29329,0.8125
1578701374.8799555,29509,0.75
1578701376.492076,29679,0.71875
1578701377.4035385,29759,0.8125
1578701379.4918926,29989,0.78125
1578701381.8412747,30079,0.8125
1578701382.071389,30099,0.78125
1578701382.29023,30119,0.65625
1578701382.6899416,30159,0.84375
1578701382.777378,30169,0.6875
1578701383.757741,30279,0.90625
1578701384.048866,30309,0.90625
1578701384.8033834,30389,0.6875
1578701385.0879602,30419,0.84375
1578701385.8945537,30509,0.875
1578701387.2469401,30659,0.90625
1578701387.6071017,30699,0.71875
1578701387.7972476,30719,0.875
1578701389.2194102,30869,0.84375
1578701390.4516523,30999,0.84375
1578701392.6805494,31229,0.6875
1578701394.0869224,31379,0.875
1578701394.1728966,31389,0.75
1578701394.7942948,31459,0.78125
1578701395.235348,31509,0.8125
1578701395.682476,31559,0.90625
1578701396.0120463,31599,0.90625
1578701396.15938,31619,0.6666666865348816
1578701401.6714945,31779,0.8125
1578701402.7500608,31889,0.8125
1578701403.379958,31959,0.84375
1578701403.4706378,31969,0.8125
1578701404.115324,32039,0.71875
1578701404.4046752,32069,0.75
1578701406.739705,32309,0.90625
1578701407.080832,32339,0.71875
1578701407.830032,32409,0.71875
1578701408.112882,32439,0.9375
1578701408.1989539,32449,0.875
1578701408.4027207,32469,0.875
1578701408.489147,32479,0.84375
1578701410.4318578,32679,0.78125
1578701411.0560703,32729,0.84375
1578701412.1511765,32819,0.84375
1578701412.3370006,32839,0.90625
1578701414.4551258,33059,0.84375
1578701415.2442503,33139,0.78125
1578701417.9747777,33279,0.8125
1578701418.0744395,33289,1.0
1578701418.5419164,33339,0.71875
1578701419.037848,33389,0.90625
1578701419.7797947,33459,0.71875
1578701422.5020254,33749,0.78125
1578701422.6893437,33769,0.8125
1578701422.8877227,33789,0.78125
1578701423.6450574,33869,0.84375
1578701425.3163562,34039,0.75
1578701425.794642,34089,0.78125
1578701427.8835206,34309,0.8125
1578701428.1848989,34339,0.78125
1578701428.6557899,34389,0.90625
1578701429.32452,34459,0.84375
1578701429.7242496,34499,0.84375
1578701429.908012,34519,0.90625
1578701430.4911578,34579,0.875
1578701430.5921955,34589,0.90625
1578701431.1700792,34649,0.84375
1578701431.8502045,34719,0.75
1578701432.3366156,34779,0.75
1578701434.1680055,34809,0.8125
1578701435.9134734,34979,0.65625
1578701436.1460466,34999,0.78125
1578701437.1722274,35099,0.84375
1578701437.4967928,35129,0.875
1578701438.1496208,35199,0.90625
1578701439.5618892,35359,0.90625
1578701439.73738,35379,0.8125
1578701440.2768128,35439,0.875
1578701440.6419156,35479,0.90625
1578701440.8246896,35499,0.84375
1578701442.1188502,35639,0.875
1578701443.7936919,35809,0.875
1578701445.015918,35929,0.78125
1578701445.8702216,36009,0.90625
1578701447.9588377,36189,0.875
1578701448.1367948,36209,0.8125
1578701448.3169787,36229,0.8125
1578701448.5910845,36259,0.875
1578701448.877102,36289,0.78125
1578701451.8711476,36459,0.90625
1578701452.8992114,36569,0.71875
1578701452.9976058,36579,0.875
1578701454.2675211,36709,0.9375
1578701457.3107271,37009,0.84375
1578701457.5107303,37029,0.78125
1578701459.7155328,37269,0.65625
1578701460.071239,37309,0.78125
1578701460.2569056,37329,0.8125
1578701460.8039029,37389,0.8125
1578701461.0754907,37419,0.8125
1578701461.2523985,37439,0.90625
1578701462.0624948,37529,0.96875
1578701462.6993246,37599,0.78125
1578701463.9004424,37729,0.8125
1578701464.6462817,37809,0.90625
1578701465.7952814,37939,0.8125
1578701467.4513693,37959,0.8125
1578701467.799245,37989,0.71875
1578701468.966228,38109,0.78125
1578701469.3198452,38149,0.75
1578701469.7639632,38199,0.8125
1578701469.9501834,38219,0.84375
1578701470.944025,38319,0.78125
1578701471.3513277,38359,0.6875
1578701472.6076758,38489,0.8125
1578701474.1752968,38649,0.71875
1578701474.6507435,38699,0.8125
1578701475.3167684,38769,0.875
1578701477.9645793,39019,0.84375
1578701478.052089,39029,0.90625
1578701478.7730386,39109,0.8125
1578701479.698859,39209,0.71875
1578701480.4407582,39289,0.90625
1578701481.086774,39359,0.78125
1578701481.4594269,39399,0.75
1578701482.452165,39509,0.84375
1578701486.7380776,39569,0.84375
1578701487.4085991,39629,0.8125
1578701489.44355,39849,0.96875
1578701490.4603899,39959,0.75
1578701490.9231787,40009,0.71875
1578701491.767966,40099,0.9375
1578701491.8668892,40109,0.875
1578701492.8927212,40219,0.90625
1578701492.9792638,40229,0.84375
1578701493.9493985,40339,0.9375
1578701494.2468948,40369,0.8125
1578701495.285593,40469,0.90625
1578701495.3906918,40479,0.875
1578701495.493509,40489,0.84375
1578701500.098035,40939,0.71875
1578701500.586379,40989,0.8125
1578701500.6742175,40999,0.9375
1578701501.5520847,41099,0.78125
1578701510.2243843,41829,0.75
1578701511.2396448,41939,0.875
1578701511.3363495,41949,0.84375
1578701511.5195167,41969,0.75
1578701511.7140174,41989,0.90625
1578701511.9973137,42019,0.84375
1578701512.0913808,42029,0.875
1578701512.277358,42049,0.9375
1578701514.5075407,42279,0.75
1578701514.9826252,42329,0.84375
1578701515.2790542,42359,0.75
1578701516.0508556,42439,0.8125
1578701517.1577265,42549,0.875
1578701518.0319414,42639,0.875
1578701518.2715876,42669,1.0
1578701518.3467176,42679,0.875
1578701521.5225346,42829,0.875
1578701523.0159376,42989,0.875
1578701523.588451,43049,0.84375
1578701523.9899912,43089,0.8125
1578701524.8972473,43179,0.875
1578701525.0704787,43199,0.78125
1578701525.8902178,43289,0.90625
1578701526.2469115,43329,0.8125
1578701526.8038483,43389,0.8125
1578701527.3621416,43439,0.875
1578701530.1467915,43659,0.84375
1578701530.49177,43699,0.9375
1578701531.4785798,43789,0.84375
1578701533.3978407,43939,0.84375
1578701534.238836,44009,0.875
1578701534.9313672,44069,0.9375
1578701535.3915,44109,0.84375
1578701535.5205247,44119,0.875
1578701538.8105068,44309,0.8125
1578701538.9013507,44319,0.84375
1578701539.1135237,44339,0.78125
1578701539.6933432,44399,0.8125
1578701539.9865537,44429,0.78125
1578701542.5338523,44699,0.90625
1578701543.062676,44759,0.90625
1578701543.425959,44799,0.75
1578701543.7016177,44829,0.84375
1578701544.3936048,44909,0.8125
1578701544.5673416,44929,0.875
1578701546.1119304,45099,0.90625
1578701546.2117689,45109,0.875
1578701547.914151,45299,0.75
1578701548.0000966,45309,0.90625
1578701548.2724771,45339,0.65625
1578701549.1326454,45429,0.71875
1578701549.9260702,45509,0.8125
1578701550.1237469,45529,0.71875
1578701550.2191362,45539,0.875
1578701551.5616581,45689,0.9375
1578701552.4867475,45789,0.6875
1578701552.74643,45819,0.8125
1578701555.1567233,45929,0.84375
1578701555.4436707,45959,0.65625
1578701555.6350327,45979,0.84375
1578701555.8330429,45999,0.71875
1578701557.0457714,46119,0.875
1578701558.8064458,46289,0.78125
1578701560.2309148,46439,0.84375
1578701560.8241012,46499,0.8125
1578701561.4544346,46569,0.90625
1578701562.1994016,46649,0.71875
1578701562.5802338,46689,0.90625
1578701563.2275548,46759,0.90625
1578701563.3196337,46769,0.90625
1578701563.409975,46779,0.90625
1578701564.2929864,46879,0.8125
1578701566.726431,47139,0.84375
1578701567.2840564,47189,0.875
1578701568.8266122,47349,0.8125
1578701569.2950912,47399,0.9375
1578701573.6441739,47459,0.71875
1578701574.0196135,47499,0.84375
1578701574.1159196,47509,0.90625
1578701574.842457,47589,0.96875
1578701575.1198964,47619,0.78125
1578701575.212692,47629,0.75
1578701575.3974733,47649,0.8125
1578701575.6737015,47679,0.78125
1578701576.550348,47769,0.875
1578701576.9278538,47809,0.90625
1578701577.3802822,47849,0.875
1578701577.6790073,47879,0.625
1578701577.7652688,47889,0.8125
1578701578.2840607,47949,0.875
1578701578.8287609,48009,0.84375
1578701579.0253708,48029,0.78125
1578701579.3580315,48059,0.78125
1578701581.491476,48259,0.84375
1578701582.962173,48409,0.8125
1578701584.1778655,48529,0.78125
