Wall time,Step,Value
1578701564.7475765,59,0.09375
1578701566.3002915,189,0.21875
1578701567.0233374,249,0.28125
1578701568.8705509,409,0.46875
1578701569.0733552,429,0.46875
1578701569.3477201,459,0.21875
1578701570.086251,539,0.40625
1578701570.453758,569,0.25
1578701572.2197182,719,0.21875
1578701572.5776515,749,0.5625
1578701574.66312,949,0.28125
1578701575.4134073,1029,0.34375
1578701575.764308,1069,0.4375
1578701577.7160783,1269,0.375
1578701579.1076477,1399,0.46875
1578701580.6169562,1559,0.5
1578701582.5963006,1589,0.4375
1578701583.5728817,1679,0.40625
1578701584.7184443,1789,0.46875
1578701585.3286352,1839,0.40625
1578701585.573562,1859,0.4375
1578701585.679312,1869,0.53125
1578701586.0897934,1909,0.46875
1578701587.9182687,2079,0.5625
1578701589.3843753,2239,0.59375
1578701589.9249144,2299,0.53125
1578701590.409583,2349,0.65625
1578701591.9468427,2499,0.4375
1578701592.5168123,2559,0.5
1578701592.9616592,2609,0.53125
1578701593.655676,2679,0.59375
1578701594.081859,2719,0.40625
1578701594.2838802,2739,0.6875
1578701596.4455783,2929,0.5625
1578701597.9225707,3089,0.5625
1578701598.1065648,3109,0.71875
1578701600.3857586,3189,0.53125
1578701601.6122963,3309,0.5
1578701602.57586,3399,0.5
1578701603.5112233,3479,0.65625
1578701605.1553495,3639,0.6875
1578701605.5684528,3679,0.65625
1578701611.0453134,4219,0.46875
1578701611.1673806,4229,0.53125
1578701613.059865,4399,0.625
1578701613.4121516,4429,0.78125
1578701613.7654135,4459,0.4375
1578701615.5131316,4609,0.5
1578701615.8940666,4639,0.59375
1578701616.0084176,4649,0.59375
1578701618.5479803,4749,0.78125
1578701620.4978173,4919,0.6875
1578701620.7207642,4939,0.65625
1578701623.183216,5149,0.5
1578701623.5059905,5179,0.625
1578701625.1935008,5319,0.65625
1578701625.754817,5369,0.4375
1578701627.7520156,5579,0.625
1578701628.271869,5639,0.8125
1578701629.1732252,5739,0.6875
