Wall time,Step,Value
1578697478.4548347,59,0.1875
1578697480.6380856,189,0.3125
1578697481.9188368,249,0.34375
1578697485.4251885,409,0.21875
1578697485.9598167,429,0.40625
1578697486.7527084,459,0.15625
1578697488.6590576,539,0.46875
1578697489.3825128,569,0.34375
1578697492.9115672,719,0.5
1578697493.638957,749,0.46875
1578697498.5456398,949,0.5625
1578697500.5516982,1029,0.5
1578697501.604954,1069,0.46875
1578697506.2640352,1269,0.46875
1578697508.9483325,1399,0.625
1578697512.3830397,1559,0.5
1578697515.5893464,1589,0.65625
1578697517.0583768,1679,0.625
1578697519.0998008,1789,0.5625
1578697520.2377665,1839,0.65625
1578697520.6468692,1859,0.5625
1578697520.798961,1869,0.6875
1578697521.4021275,1909,0.4375
1578697524.6664817,2079,0.625
1578697527.994764,2239,0.625
1578697529.2951186,2299,0.625
1578697530.3316414,2349,0.625
1578697533.462968,2499,0.59375
1578697534.633334,2559,0.59375
1578697535.6220188,2609,0.4375
1578697537.147007,2679,0.5
1578697537.8143928,2719,0.59375
1578697538.1043313,2739,0.5625
1578697542.1207376,2929,0.46875
1578697546.111853,3089,0.46875
1578697546.6193783,3109,0.65625
1578697550.0801284,3189,0.65625
1578697552.3826196,3309,0.53125
1578697554.234103,3399,0.6875
1578697555.564736,3479,0.71875
1578697558.7647655,3639,0.40625
1578697559.6821816,3679,0.65625
1578697570.9054492,4219,0.6875
1578697571.1143386,4229,0.6875
1578697574.928626,4399,0.59375
1578697575.6508234,4429,0.59375
1578697576.4177372,4459,0.6875
1578697579.1072469,4609,0.6875
1578697579.568919,4639,0.78125
1578697579.7593884,4649,0.65625
1578697583.6975243,4749,0.8125
1578697587.575527,4919,0.65625
1578697588.0154994,4939,0.84375
1578697592.3875723,5149,0.65625
1578697592.8121097,5179,0.75
1578697595.49048,5319,0.6875
1578697596.4717634,5369,0.5625
1578697601.2328732,5579,0.5625
1578697602.6294901,5639,0.625
1578697604.5708983,5739,0.78125
1578697605.8261259,5799,0.65625
1578697606.2988055,5819,0.53125
1578697607.2943716,5869,0.59375
1578697607.532011,5879,0.75
1578697611.075428,6029,0.75
1578697615.3263268,6209,0.75
1578697615.7950428,6229,0.625
1578697620.4084194,6349,0.78125
1578697621.7828975,6419,0.59375
1578697621.9736707,6429,0.78125
1578697622.362565,6449,0.75
1578697622.9603095,6479,0.75
1578697623.4040906,6499,0.75
1578697625.9135418,6619,0.71875
1578697628.0114841,6719,0.78125
1578697630.2088368,6839,0.90625
1578697631.098975,6889,0.84375
1578697636.5299876,7149,0.46875
1578697637.4238882,7189,0.65625
1578697638.2987957,7229,0.625
1578697638.510034,7239,0.78125
1578697640.0526392,7309,0.6875
1578697641.8247478,7399,0.78125
1578697642.6187909,7439,0.71875
1578697643.4018884,7479,0.65625
1578697644.3590164,7529,0.75
1578697645.133213,7569,0.5
1578697646.91973,7659,0.8125
1578697647.7886245,7699,0.8125
1578697648.21921,7719,0.875
1578697648.7014832,7739,0.65625
1578697650.2092948,7809,0.625
1578697651.2305202,7859,0.71875
1578697651.4726515,7879,0.75
1578697659.066169,7929,0.71875
1578697659.4596748,7949,0.78125
1578697660.2478855,7989,0.75
1578697661.0367942,8029,0.8125
1578697662.1238134,8089,0.78125
1578697662.2496827,8099,0.75
1578697666.5900087,8329,0.8125
1578697667.3978696,8369,0.5
1578697673.8807225,8699,0.71875
1578697675.1500769,8769,0.6875
1578697676.4781382,8829,0.75
1578697679.5767105,8969,0.65625
1578697680.4994001,9009,0.75
1578697682.1643462,9079,0.65625
1578697682.6475995,9099,0.875
1578697683.9572506,9159,0.6875
1578697684.3383412,9179,0.6875
1578697686.9641452,9319,0.71875
1578697687.1583548,9329,0.65625
1578697689.220903,9429,0.6875
1578697689.653461,9459,0.84375
1578697693.5216417,9549,0.71875
1578697694.3536143,9589,0.75
1578697695.2441535,9629,0.84375
1578697696.885239,9719,0.65625
1578697697.0155156,9729,0.8125
1578697698.005122,9789,0.78125
1578697698.2040818,9799,0.90625
1578697699.2513325,9849,0.75
1578697701.3159628,9969,0.75
1578697702.8849528,10029,0.8125
1578697703.4984128,10059,0.78125
1578697705.430044,10149,0.875
1578697707.9143753,10259,0.75
1578697711.3640964,10449,0.75
1578697713.847341,10579,0.875
1578697715.1643608,10639,0.8125
1578697715.792967,10669,0.75
1578697716.2598898,10689,0.6875
1578697717.0997117,10729,0.78125
1578697718.4275668,10789,0.75
1578697719.528934,10839,0.875
1578697721.8152473,10939,0.78125
1578697723.1946628,10999,0.78125
1578697724.1023104,11049,0.78125
1578697728.5786095,11149,0.84375
1578697729.7197688,11199,0.75
1578697737.0480456,11569,0.8125
1578697737.8268027,11609,0.9375
1578697738.0291932,11619,0.78125
1578697738.2332008,11629,0.875
1578697742.534728,11809,0.875
1578697745.51266,11929,0.6875
1578697745.7649205,11939,0.71875
1578697747.3200312,11999,0.78125
1578697749.1833565,12069,0.875
1578697756.081946,12329,0.75
1578697756.601548,12349,0.8125
1578697758.5052743,12449,0.78125
1578697760.8217137,12559,0.71875
1578697761.4841619,12589,0.75
1578697762.0499494,12619,0.8125
1578697767.7672486,12819,0.59375
1578697768.872709,12879,0.8125
1578697769.9931312,12949,0.65625
1578697771.2560256,13009,0.6875
1578697772.8647254,13109,0.78125
1578697774.1325998,13169,0.78125
1578697774.6262162,13199,0.71875
1578697776.803055,13309,0.90625
1578697777.3790574,13339,0.8125
1578697777.9565482,13369,0.6875
1578697778.2059402,13379,0.78125
1578697788.1336527,13859,0.8125
1578697788.7882977,13889,0.84375
1578697789.4318986,13919,0.8125
1578697789.6562028,13929,0.84375
1578697794.4709172,14149,0.8125
1578697798.9924743,14269,0.90625
