Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=Adam_decay=0.001_lr=0.001_momentum=0.9_mode=MLMC_run_0
epoch: [0], step: [299/1581], batch loss: 1.60366, batch accuracy: 46.88, data load time: 0.00025, step time: 0.01377,
epoch: [0], step: [599/1581], batch loss: 1.36200, batch accuracy: 56.25, data load time: 0.00031, step time: 0.02327,
epoch: [0], step: [899/1581], batch loss: 1.35813, batch accuracy: 59.38, data load time: 0.00028, step time: 0.02315,
epoch: [0], step: [1199/1581], batch loss: 1.09539, batch accuracy: 56.25, data load time: 0.00379, step time: 0.01594,
epoch: [0], step: [1499/1581], batch loss: 0.83128, batch accuracy: 71.88, data load time: 0.00031, step time: 0.01396,
epoch: [1], step: [218/1581], batch loss: 0.82046, batch accuracy: 78.12, data load time: 0.00488, step time: 0.01457,
epoch: [1], step: [518/1581], batch loss: 0.68762, batch accuracy: 65.62, data load time: 0.00026, step time: 0.02039,
epoch: [1], step: [818/1581], batch loss: 0.71624, batch accuracy: 71.88, data load time: 0.00027, step time: 0.01381,
epoch: [1], step: [1118/1581], batch loss: 0.67874, batch accuracy: 78.12, data load time: 0.00041, step time: 0.01401,
epoch: [1], step: [1418/1581], batch loss: 0.51914, batch accuracy: 81.25, data load time: 0.00029, step time: 0.01722,
epoch: [2], step: [137/1581], batch loss: 0.52937, batch accuracy: 78.12, data load time: 0.00431, step time: 0.01650,
epoch: [2], step: [437/1581], batch loss: 0.57218, batch accuracy: 81.25, data load time: 0.00029, step time: 0.01450,
epoch: [2], step: [737/1581], batch loss: 0.38930, batch accuracy: 84.38, data load time: 0.00028, step time: 0.01391,
epoch: [2], step: [1037/1581], batch loss: 0.50295, batch accuracy: 78.12, data load time: 0.00026, step time: 0.01520,
epoch: [2], step: [1337/1581], batch loss: 0.51848, batch accuracy: 78.12, data load time: 0.00521, step time: 0.01486,
epoch: [3], step: [56/1581], batch loss: 0.46838, batch accuracy: 81.25, data load time: 0.00023, step time: 0.01383,
epoch: [3], step: [356/1581], batch loss: 0.36151, batch accuracy: 90.62, data load time: 0.00036, step time: 0.01383,
epoch: [3], step: [656/1581], batch loss: 0.38923, batch accuracy: 87.50, data load time: 0.00029, step time: 0.01706,
