Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=Adam_decay=0.0001_lr=0.001_momentum=0.9_mode=LMC_run_0
epoch: [0], step: [299/1581], batch loss: 1.69447, batch accuracy: 28.12, data load time: 0.00028, step time: 0.01038,
epoch: [0], step: [599/1581], batch loss: 1.17347, batch accuracy: 59.38, data load time: 0.00026, step time: 0.01355,
epoch: [0], step: [899/1581], batch loss: 1.10289, batch accuracy: 65.62, data load time: 0.00796, step time: 0.01249,
epoch: [0], step: [1199/1581], batch loss: 0.92218, batch accuracy: 62.50, data load time: 0.00022, step time: 0.01025,
epoch: [0], step: [1499/1581], batch loss: 0.99961, batch accuracy: 56.25, data load time: 0.00022, step time: 0.00952,
epoch: [1], step: [218/1581], batch loss: 0.88981, batch accuracy: 75.00, data load time: 0.00022, step time: 0.01576,
epoch: [1], step: [518/1581], batch loss: 0.36076, batch accuracy: 84.38, data load time: 0.00022, step time: 0.01511,
epoch: [1], step: [818/1581], batch loss: 1.17855, batch accuracy: 65.62, data load time: 0.00023, step time: 0.01001,
epoch: [1], step: [1118/1581], batch loss: 0.33116, batch accuracy: 90.62, data load time: 0.00021, step time: 0.00947,
epoch: [1], step: [1418/1581], batch loss: 0.53451, batch accuracy: 78.12, data load time: 0.00022, step time: 0.01708,
epoch: [2], step: [137/1581], batch loss: 0.34708, batch accuracy: 90.62, data load time: 0.00022, step time: 0.00988,
epoch: [2], step: [437/1581], batch loss: 0.59233, batch accuracy: 78.12, data load time: 0.00023, step time: 0.00958,
epoch: [2], step: [737/1581], batch loss: 0.56005, batch accuracy: 78.12, data load time: 0.00021, step time: 0.00926,
epoch: [2], step: [1037/1581], batch loss: 0.42721, batch accuracy: 81.25, data load time: 0.00023, step time: 0.00966,
epoch: [2], step: [1337/1581], batch loss: 0.26876, batch accuracy: 93.75, data load time: 0.00024, step time: 0.01143,
epoch: [3], step: [56/1581], batch loss: 0.31898, batch accuracy: 84.38, data load time: 0.00023, step time: 0.00984,
epoch: [3], step: [356/1581], batch loss: 0.42100, batch accuracy: 84.38, data load time: 0.00021, step time: 0.00973,
epoch: [3], step: [656/1581], batch loss: 0.35804, batch accuracy: 87.50, data load time: 0.00021, step time: 0.00975,
epoch: [3], step: [956/1581], batch loss: 0.57673, batch accuracy: 81.25, data load time: 0.00023, step time: 0.00990,
epoch: [3], step: [1256/1581], batch loss: 0.39443, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01416,
epoch: [3], step: [1556/1581], batch loss: 0.34477, batch accuracy: 90.62, data load time: 0.00011, step time: 0.00860,
epoch: [4], step: [275/1581], batch loss: 0.18411, batch accuracy: 93.75, data load time: 0.00021, step time: 0.01056,
epoch: [4], step: [575/1581], batch loss: 0.46707, batch accuracy: 81.25, data load time: 0.00023, step time: 0.01033,
epoch: [4], step: [875/1581], batch loss: 0.09173, batch accuracy: 100.00, data load time: 0.00025, step time: 0.01239,
epoch: [4], step: [1175/1581], batch loss: 0.34408, batch accuracy: 87.50, data load time: 0.00032, step time: 0.01028,
epoch: [4], step: [1475/1581], batch loss: 0.31535, batch accuracy: 87.50, data load time: 0.00025, step time: 0.01194,
validation loss: 0.86914, accuracy: 73.80, class_accuracy: [69.49152542372882, 97.36842105263158, 70.08547008547009, 64.60176991150442, 77.96610169491525, 55.96330275229358, 100.0, 95.57522123893806, 61.224489795918366, 77.11864406779661]
class_avg: 76.93949460231968
epoch: [5], step: [194/1581], batch loss: 0.37537, batch accuracy: 87.50, data load time: 0.00026, step time: 0.02159,
epoch: [5], step: [494/1581], batch loss: 0.31886, batch accuracy: 87.50, data load time: 0.00024, step time: 0.01115,
epoch: [5], step: [794/1581], batch loss: 0.33910, batch accuracy: 87.50, data load time: 0.00032, step time: 0.01134,
epoch: [5], step: [1094/1581], batch loss: 0.35731, batch accuracy: 81.25, data load time: 0.00021, step time: 0.00949,
epoch: [5], step: [1394/1581], batch loss: 0.33264, batch accuracy: 87.50, data load time: 0.00021, step time: 0.01051,
epoch: [6], step: [113/1581], batch loss: 0.19260, batch accuracy: 90.62, data load time: 0.00418, step time: 0.01000,
