Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=Adam_decay=1e-05_lr=0.001_momentum=0.9_mode=MC_run_0
epoch: [0], step: [299/1581], batch loss: 1.39630, batch accuracy: 50.00, data load time: 0.00365, step time: 0.01162,
epoch: [0], step: [599/1581], batch loss: 1.19036, batch accuracy: 50.00, data load time: 0.00069, step time: 0.01268,
epoch: [0], step: [899/1581], batch loss: 1.04819, batch accuracy: 62.50, data load time: 0.00023, step time: 0.01165,
epoch: [0], step: [1199/1581], batch loss: 0.75443, batch accuracy: 71.88, data load time: 0.00024, step time: 0.00991,
epoch: [0], step: [1499/1581], batch loss: 0.65211, batch accuracy: 75.00, data load time: 0.00034, step time: 0.01008,
epoch: [1], step: [218/1581], batch loss: 0.99970, batch accuracy: 71.88, data load time: 0.00023, step time: 0.01097,
epoch: [1], step: [518/1581], batch loss: 1.08402, batch accuracy: 68.75, data load time: 0.00021, step time: 0.00963,
epoch: [1], step: [818/1581], batch loss: 0.80487, batch accuracy: 71.88, data load time: 0.00030, step time: 0.01014,
epoch: [1], step: [1118/1581], batch loss: 0.54516, batch accuracy: 84.38, data load time: 0.00021, step time: 0.00953,
epoch: [1], step: [1418/1581], batch loss: 0.61090, batch accuracy: 75.00, data load time: 0.00026, step time: 0.01006,
epoch: [2], step: [137/1581], batch loss: 0.75067, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01054,
epoch: [2], step: [437/1581], batch loss: 0.79132, batch accuracy: 68.75, data load time: 0.00033, step time: 0.01004,
epoch: [2], step: [737/1581], batch loss: 0.43712, batch accuracy: 84.38, data load time: 0.00023, step time: 0.01191,
epoch: [2], step: [1037/1581], batch loss: 0.58889, batch accuracy: 81.25, data load time: 0.00033, step time: 0.01024,
epoch: [2], step: [1337/1581], batch loss: 0.84778, batch accuracy: 75.00, data load time: 0.00024, step time: 0.01194,
epoch: [3], step: [56/1581], batch loss: 0.60278, batch accuracy: 81.25, data load time: 0.00030, step time: 0.01033,
epoch: [3], step: [356/1581], batch loss: 0.62066, batch accuracy: 71.88, data load time: 0.00024, step time: 0.01020,
