Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=0.0001_lr=0.001_momentum=0.9_mode=LMC_run_0
epoch: [0], step: [299/1581], batch loss: 1.76045, batch accuracy: 34.38, data load time: 0.00292, step time: 0.00839,
epoch: [0], step: [599/1581], batch loss: 1.76204, batch accuracy: 31.25, data load time: 0.00023, step time: 0.00795,
epoch: [0], step: [899/1581], batch loss: 1.70361, batch accuracy: 43.75, data load time: 0.00022, step time: 0.00806,
epoch: [0], step: [1199/1581], batch loss: 1.51284, batch accuracy: 40.62, data load time: 0.00021, step time: 0.00799,
epoch: [0], step: [1499/1581], batch loss: 1.47021, batch accuracy: 46.88, data load time: 0.00021, step time: 0.00802,
epoch: [1], step: [218/1581], batch loss: 1.12953, batch accuracy: 56.25, data load time: 0.00022, step time: 0.00806,
epoch: [1], step: [518/1581], batch loss: 1.13085, batch accuracy: 56.25, data load time: 0.00021, step time: 0.00826,
epoch: [1], step: [818/1581], batch loss: 1.20428, batch accuracy: 62.50, data load time: 0.00023, step time: 0.00800,
epoch: [1], step: [1118/1581], batch loss: 1.28982, batch accuracy: 65.62, data load time: 0.00275, step time: 0.01001,
epoch: [1], step: [1418/1581], batch loss: 1.02172, batch accuracy: 65.62, data load time: 0.00021, step time: 0.01448,
epoch: [2], step: [137/1581], batch loss: 0.97593, batch accuracy: 59.38, data load time: 0.00020, step time: 0.00831,
epoch: [2], step: [437/1581], batch loss: 1.11161, batch accuracy: 50.00, data load time: 0.00021, step time: 0.00861,
epoch: [2], step: [737/1581], batch loss: 0.95481, batch accuracy: 68.75, data load time: 0.00024, step time: 0.00806,
epoch: [2], step: [1037/1581], batch loss: 0.95390, batch accuracy: 59.38, data load time: 0.00030, step time: 0.00857,
epoch: [2], step: [1337/1581], batch loss: 0.95258, batch accuracy: 59.38, data load time: 0.00037, step time: 0.00858,
epoch: [3], step: [56/1581], batch loss: 0.55436, batch accuracy: 78.12, data load time: 0.00022, step time: 0.00889,
epoch: [3], step: [356/1581], batch loss: 1.11761, batch accuracy: 56.25, data load time: 0.00022, step time: 0.00800,
epoch: [3], step: [656/1581], batch loss: 1.04042, batch accuracy: 65.62, data load time: 0.00021, step time: 0.00789,
epoch: [3], step: [956/1581], batch loss: 0.52815, batch accuracy: 78.12, data load time: 0.00023, step time: 0.00807,
epoch: [3], step: [1256/1581], batch loss: 0.74339, batch accuracy: 65.62, data load time: 0.00022, step time: 0.00819,
epoch: [3], step: [1556/1581], batch loss: 0.57993, batch accuracy: 78.12, data load time: 0.00012, step time: 0.00735,
epoch: [4], step: [275/1581], batch loss: 1.21324, batch accuracy: 65.62, data load time: 0.00026, step time: 0.00787,
epoch: [4], step: [575/1581], batch loss: 1.08746, batch accuracy: 53.12, data load time: 0.00024, step time: 0.00811,
epoch: [4], step: [875/1581], batch loss: 1.07431, batch accuracy: 65.62, data load time: 0.00021, step time: 0.00896,
epoch: [4], step: [1175/1581], batch loss: 1.12291, batch accuracy: 59.38, data load time: 0.00020, step time: 0.00832,
epoch: [4], step: [1475/1581], batch loss: 0.71676, batch accuracy: 71.88, data load time: 0.00030, step time: 0.00796,
validation loss: 1.02854, accuracy: 65.61, class_accuracy: [66.10169491525424, 92.10526315789474, 66.66666666666667, 55.75221238938053, 73.72881355932203, 50.45871559633027, 100.0, 91.15044247787611, 60.204081632653065, 40.67796610169491]
class_avg: 69.68458564970726
epoch: [5], step: [194/1581], batch loss: 1.17472, batch accuracy: 56.25, data load time: 0.00023, step time: 0.00824,
epoch: [5], step: [494/1581], batch loss: 0.55911, batch accuracy: 78.12, data load time: 0.00022, step time: 0.00816,
epoch: [5], step: [794/1581], batch loss: 0.61283, batch accuracy: 81.25, data load time: 0.00022, step time: 0.00858,
epoch: [5], step: [1094/1581], batch loss: 0.55528, batch accuracy: 78.12, data load time: 0.00024, step time: 0.00796,
