Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=1e-05_lr=0.001_momentum=0.9_mode=MLMC_run_0
epoch: [0], step: [299/1581], batch loss: 1.86787, batch accuracy: 25.00, data load time: 0.00025, step time: 0.01167,
epoch: [0], step: [599/1581], batch loss: 1.83599, batch accuracy: 31.25, data load time: 0.00042, step time: 0.01167,
epoch: [0], step: [899/1581], batch loss: 1.91594, batch accuracy: 37.50, data load time: 0.00025, step time: 0.01169,
epoch: [0], step: [1199/1581], batch loss: 1.65868, batch accuracy: 40.62, data load time: 0.00027, step time: 0.01929,
epoch: [0], step: [1499/1581], batch loss: 1.06401, batch accuracy: 62.50, data load time: 0.00051, step time: 0.01166,
epoch: [1], step: [218/1581], batch loss: 1.15803, batch accuracy: 62.50, data load time: 0.00025, step time: 0.01365,
epoch: [1], step: [518/1581], batch loss: 1.01524, batch accuracy: 68.75, data load time: 0.00059, step time: 0.01167,
epoch: [1], step: [818/1581], batch loss: 0.98784, batch accuracy: 59.38, data load time: 0.00039, step time: 0.01170,
epoch: [1], step: [1118/1581], batch loss: 0.83526, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01175,
epoch: [1], step: [1418/1581], batch loss: 0.79551, batch accuracy: 81.25, data load time: 0.00026, step time: 0.01172,
epoch: [2], step: [137/1581], batch loss: 0.99720, batch accuracy: 59.38, data load time: 0.00646, step time: 0.01386,
epoch: [2], step: [437/1581], batch loss: 1.11496, batch accuracy: 59.38, data load time: 0.00024, step time: 0.01163,
epoch: [2], step: [737/1581], batch loss: 0.68757, batch accuracy: 81.25, data load time: 0.00026, step time: 0.01169,
epoch: [2], step: [1037/1581], batch loss: 1.34377, batch accuracy: 59.38, data load time: 0.00025, step time: 0.01242,
epoch: [2], step: [1337/1581], batch loss: 1.35640, batch accuracy: 50.00, data load time: 0.00023, step time: 0.01167,
epoch: [3], step: [56/1581], batch loss: 0.64936, batch accuracy: 68.75, data load time: 0.00022, step time: 0.01651,
epoch: [3], step: [356/1581], batch loss: 0.71451, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01960,
epoch: [3], step: [656/1581], batch loss: 1.05950, batch accuracy: 65.62, data load time: 0.00023, step time: 0.01167,
epoch: [3], step: [956/1581], batch loss: 0.73265, batch accuracy: 68.75, data load time: 0.00026, step time: 0.01389,
epoch: [3], step: [1256/1581], batch loss: 1.16522, batch accuracy: 59.38, data load time: 0.00025, step time: 0.01166,
epoch: [3], step: [1556/1581], batch loss: 0.92569, batch accuracy: 65.62, data load time: 0.00014, step time: 0.01158,
epoch: [4], step: [275/1581], batch loss: 0.52208, batch accuracy: 84.38, data load time: 0.00023, step time: 0.01170,
epoch: [4], step: [575/1581], batch loss: 0.73658, batch accuracy: 62.50, data load time: 0.00025, step time: 0.01168,
epoch: [4], step: [875/1581], batch loss: 0.73739, batch accuracy: 78.12, data load time: 0.00024, step time: 0.01412,
epoch: [4], step: [1175/1581], batch loss: 0.67788, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01186,
epoch: [4], step: [1475/1581], batch loss: 0.61083, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01226,
validation loss: 1.01071, accuracy: 71.34, class_accuracy: [76.27118644067797, 89.47368421052632, 70.94017094017094, 61.06194690265487, 61.86440677966102, 74.31192660550458, 100.0, 97.34513274336283, 52.04081632653061, 60.16949152542373]
class_avg: 74.3478762474513
epoch: [5], step: [194/1581], batch loss: 0.60822, batch accuracy: 81.25, data load time: 0.00040, step time: 0.01254,
epoch: [5], step: [494/1581], batch loss: 0.73348, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01312,
epoch: [5], step: [794/1581], batch loss: 0.54349, batch accuracy: 65.62, data load time: 0.00024, step time: 0.01372,
epoch: [5], step: [1094/1581], batch loss: 0.54372, batch accuracy: 81.25, data load time: 0.00036, step time: 0.01247,
epoch: [5], step: [1394/1581], batch loss: 0.40505, batch accuracy: 87.50, data load time: 0.00035, step time: 0.01265,
