Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=0.01_lr=0.001_momentum=0.9_mode=MCdropout1d_run_0
epoch: [0], step: [299/1581], batch loss: 1.94086, batch accuracy: 40.62, data load time: 0.00021, step time: 0.00814,
epoch: [0], step: [599/1581], batch loss: 1.69368, batch accuracy: 37.50, data load time: 0.00023, step time: 0.01013,
epoch: [0], step: [899/1581], batch loss: 1.28168, batch accuracy: 46.88, data load time: 0.00023, step time: 0.00790,
epoch: [0], step: [1199/1581], batch loss: 1.24127, batch accuracy: 53.12, data load time: 0.00023, step time: 0.01086,
epoch: [0], step: [1499/1581], batch loss: 1.14081, batch accuracy: 62.50, data load time: 0.00023, step time: 0.00810,
epoch: [1], step: [218/1581], batch loss: 1.04281, batch accuracy: 62.50, data load time: 0.00024, step time: 0.00844,
epoch: [1], step: [518/1581], batch loss: 0.86433, batch accuracy: 59.38, data load time: 0.00024, step time: 0.00795,
epoch: [1], step: [818/1581], batch loss: 1.00788, batch accuracy: 62.50, data load time: 0.00363, step time: 0.00873,
epoch: [1], step: [1118/1581], batch loss: 0.93844, batch accuracy: 71.88, data load time: 0.00356, step time: 0.00845,
epoch: [1], step: [1418/1581], batch loss: 1.04505, batch accuracy: 59.38, data load time: 0.00346, step time: 0.00837,
epoch: [2], step: [137/1581], batch loss: 1.11634, batch accuracy: 65.62, data load time: 0.00021, step time: 0.00778,
epoch: [2], step: [437/1581], batch loss: 0.82256, batch accuracy: 71.88, data load time: 0.00025, step time: 0.00806,
epoch: [2], step: [737/1581], batch loss: 0.71752, batch accuracy: 71.88, data load time: 0.00022, step time: 0.00797,
epoch: [2], step: [1037/1581], batch loss: 0.77066, batch accuracy: 62.50, data load time: 0.00307, step time: 0.00884,
epoch: [2], step: [1337/1581], batch loss: 0.83863, batch accuracy: 59.38, data load time: 0.00023, step time: 0.00775,
epoch: [3], step: [56/1581], batch loss: 1.06606, batch accuracy: 59.38, data load time: 0.00025, step time: 0.00827,
epoch: [3], step: [356/1581], batch loss: 0.88649, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01251,
epoch: [3], step: [656/1581], batch loss: 0.79182, batch accuracy: 62.50, data load time: 0.00021, step time: 0.01237,
epoch: [3], step: [956/1581], batch loss: 1.13671, batch accuracy: 65.62, data load time: 0.00021, step time: 0.00837,
epoch: [3], step: [1256/1581], batch loss: 0.65586, batch accuracy: 71.88, data load time: 0.00182, step time: 0.01111,
epoch: [3], step: [1556/1581], batch loss: 0.51727, batch accuracy: 84.38, data load time: 0.00012, step time: 0.00730,
epoch: [4], step: [275/1581], batch loss: 0.92553, batch accuracy: 68.75, data load time: 0.00024, step time: 0.00801,
epoch: [4], step: [575/1581], batch loss: 0.99190, batch accuracy: 62.50, data load time: 0.00025, step time: 0.00843,
epoch: [4], step: [875/1581], batch loss: 0.71802, batch accuracy: 75.00, data load time: 0.00023, step time: 0.00918,
epoch: [4], step: [1175/1581], batch loss: 0.48388, batch accuracy: 81.25, data load time: 0.00028, step time: 0.00844,
epoch: [4], step: [1475/1581], batch loss: 0.82517, batch accuracy: 68.75, data load time: 0.00023, step time: 0.00788,
validation loss: 1.43770, accuracy: 55.07, class_accuracy: [59.32203389830509, 63.1578947368421, 24.786324786324787, 28.31858407079646, 66.94915254237289, 82.56880733944953, 100.0, 99.11504424778761, 34.69387755102041, 27.966101694915253]
class_avg: 58.68778208678141
epoch: [5], step: [194/1581], batch loss: 0.49142, batch accuracy: 71.88, data load time: 0.00691, step time: 0.00899,
epoch: [5], step: [494/1581], batch loss: 0.76789, batch accuracy: 75.00, data load time: 0.00396, step time: 0.00841,
epoch: [5], step: [794/1581], batch loss: 0.42216, batch accuracy: 81.25, data load time: 0.00314, step time: 0.01364,
epoch: [5], step: [1094/1581], batch loss: 0.63895, batch accuracy: 87.50, data load time: 0.00024, step time: 0.00824,
epoch: [5], step: [1394/1581], batch loss: 0.68141, batch accuracy: 71.88, data load time: 0.00022, step time: 0.00812,
epoch: [6], step: [113/1581], batch loss: 0.58269, batch accuracy: 81.25, data load time: 0.00024, step time: 0.00953,
epoch: [6], step: [413/1581], batch loss: 0.37513, batch accuracy: 81.25, data load time: 0.00025, step time: 0.00803,
epoch: [6], step: [713/1581], batch loss: 0.67972, batch accuracy: 81.25, data load time: 0.00023, step time: 0.01294,
epoch: [6], step: [1013/1581], batch loss: 0.75446, batch accuracy: 71.88, data load time: 0.00036, step time: 0.01165,
epoch: [6], step: [1313/1581], batch loss: 0.77461, batch accuracy: 78.12, data load time: 0.00023, step time: 0.00779,
epoch: [7], step: [32/1581], batch loss: 0.81295, batch accuracy: 68.75, data load time: 0.00020, step time: 0.01055,
epoch: [7], step: [332/1581], batch loss: 0.49750, batch accuracy: 75.00, data load time: 0.00024, step time: 0.00789,
epoch: [7], step: [632/1581], batch loss: 0.34125, batch accuracy: 84.38, data load time: 0.00427, step time: 0.00926,
epoch: [7], step: [932/1581], batch loss: 0.80615, batch accuracy: 71.88, data load time: 0.00023, step time: 0.00902,
epoch: [7], step: [1232/1581], batch loss: 0.64450, batch accuracy: 78.12, data load time: 0.00023, step time: 0.01067,
epoch: [7], step: [1532/1581], batch loss: 0.44015, batch accuracy: 78.12, data load time: 0.00018, step time: 0.00792,
epoch: [8], step: [251/1581], batch loss: 0.56668, batch accuracy: 84.38, data load time: 0.00023, step time: 0.00988,
epoch: [8], step: [551/1581], batch loss: 0.40007, batch accuracy: 84.38, data load time: 0.00324, step time: 0.00848,
epoch: [8], step: [851/1581], batch loss: 0.20177, batch accuracy: 93.75, data load time: 0.00380, step time: 0.00886,
