Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=0.01_lr=0.001_momentum=0.9_mode=MC_run_2
epoch: [0], step: [299/1581], batch loss: 1.92252, batch accuracy: 31.25, data load time: 0.00021, step time: 0.00844,
epoch: [0], step: [599/1581], batch loss: 1.59182, batch accuracy: 40.62, data load time: 0.00022, step time: 0.01069,
epoch: [0], step: [899/1581], batch loss: 1.56166, batch accuracy: 46.88, data load time: 0.00022, step time: 0.01225,
epoch: [0], step: [1199/1581], batch loss: 1.31907, batch accuracy: 40.62, data load time: 0.00021, step time: 0.01302,
epoch: [0], step: [1499/1581], batch loss: 1.46472, batch accuracy: 46.88, data load time: 0.00023, step time: 0.01150,
epoch: [1], step: [218/1581], batch loss: 1.47803, batch accuracy: 50.00, data load time: 0.00021, step time: 0.00856,
epoch: [1], step: [518/1581], batch loss: 1.24572, batch accuracy: 53.12, data load time: 0.00022, step time: 0.01218,
epoch: [1], step: [818/1581], batch loss: 1.35328, batch accuracy: 46.88, data load time: 0.00022, step time: 0.01106,
epoch: [1], step: [1118/1581], batch loss: 1.44380, batch accuracy: 46.88, data load time: 0.00022, step time: 0.01238,
epoch: [1], step: [1418/1581], batch loss: 1.62475, batch accuracy: 40.62, data load time: 0.00021, step time: 0.01121,
epoch: [2], step: [137/1581], batch loss: 1.55589, batch accuracy: 31.25, data load time: 0.00281, step time: 0.00990,
epoch: [2], step: [437/1581], batch loss: 1.08844, batch accuracy: 50.00, data load time: 0.00024, step time: 0.00816,
epoch: [2], step: [737/1581], batch loss: 1.40302, batch accuracy: 59.38, data load time: 0.00021, step time: 0.00816,
epoch: [2], step: [1037/1581], batch loss: 0.98119, batch accuracy: 65.62, data load time: 0.00280, step time: 0.00993,
epoch: [2], step: [1337/1581], batch loss: 1.39123, batch accuracy: 56.25, data load time: 0.00022, step time: 0.00865,
epoch: [3], step: [56/1581], batch loss: 0.70114, batch accuracy: 71.88, data load time: 0.00021, step time: 0.00931,
epoch: [3], step: [356/1581], batch loss: 1.09176, batch accuracy: 59.38, data load time: 0.00022, step time: 0.01098,
epoch: [3], step: [656/1581], batch loss: 1.25183, batch accuracy: 59.38, data load time: 0.00023, step time: 0.00835,
epoch: [3], step: [956/1581], batch loss: 0.95753, batch accuracy: 68.75, data load time: 0.00021, step time: 0.01205,
epoch: [3], step: [1256/1581], batch loss: 1.20017, batch accuracy: 56.25, data load time: 0.00021, step time: 0.01150,
epoch: [3], step: [1556/1581], batch loss: 1.23839, batch accuracy: 59.38, data load time: 0.00012, step time: 0.00732,
epoch: [4], step: [275/1581], batch loss: 0.91402, batch accuracy: 68.75, data load time: 0.00022, step time: 0.00875,
epoch: [4], step: [575/1581], batch loss: 1.11144, batch accuracy: 65.62, data load time: 0.00023, step time: 0.01355,
epoch: [4], step: [875/1581], batch loss: 1.11188, batch accuracy: 62.50, data load time: 0.00313, step time: 0.00975,
epoch: [4], step: [1175/1581], batch loss: 0.80441, batch accuracy: 75.00, data load time: 0.00021, step time: 0.01054,
epoch: [4], step: [1475/1581], batch loss: 0.79587, batch accuracy: 68.75, data load time: 0.00022, step time: 0.00890,
validation loss: 0.94916, accuracy: 72.47, class_accuracy: [69.49152542372882, 76.3157894736842, 68.37606837606837, 61.06194690265487, 63.559322033898304, 86.23853211009174, 97.14285714285714, 98.23008849557522, 57.142857142857146, 66.10169491525424]
class_avg: 74.366068201667
epoch: [5], step: [194/1581], batch loss: 0.56100, batch accuracy: 81.25, data load time: 0.00202, step time: 0.01169,
epoch: [5], step: [494/1581], batch loss: 0.84871, batch accuracy: 68.75, data load time: 0.00024, step time: 0.00823,
epoch: [5], step: [794/1581], batch loss: 1.12888, batch accuracy: 78.12, data load time: 0.00313, step time: 0.00921,
epoch: [5], step: [1094/1581], batch loss: 1.26190, batch accuracy: 62.50, data load time: 0.00022, step time: 0.00875,
epoch: [5], step: [1394/1581], batch loss: 0.53052, batch accuracy: 87.50, data load time: 0.00022, step time: 0.00904,
epoch: [6], step: [113/1581], batch loss: 0.69850, batch accuracy: 84.38, data load time: 0.00022, step time: 0.01113,
epoch: [6], step: [413/1581], batch loss: 0.81610, batch accuracy: 78.12, data load time: 0.00022, step time: 0.01135,
epoch: [6], step: [713/1581], batch loss: 0.88553, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01029,
epoch: [6], step: [1013/1581], batch loss: 0.95216, batch accuracy: 71.88, data load time: 0.00023, step time: 0.01343,
epoch: [6], step: [1313/1581], batch loss: 0.64809, batch accuracy: 75.00, data load time: 0.00430, step time: 0.00821,
epoch: [7], step: [32/1581], batch loss: 0.74022, batch accuracy: 68.75, data load time: 0.00023, step time: 0.00961,
epoch: [7], step: [332/1581], batch loss: 0.60431, batch accuracy: 78.12, data load time: 0.00032, step time: 0.00909,
epoch: [7], step: [632/1581], batch loss: 0.48259, batch accuracy: 84.38, data load time: 0.00021, step time: 0.01026,
epoch: [7], step: [932/1581], batch loss: 0.58374, batch accuracy: 81.25, data load time: 0.00024, step time: 0.00884,
epoch: [7], step: [1232/1581], batch loss: 0.98442, batch accuracy: 65.62, data load time: 0.00023, step time: 0.00826,
epoch: [7], step: [1532/1581], batch loss: 0.79035, batch accuracy: 68.75, data load time: 0.00020, step time: 0.00873,
epoch: [8], step: [251/1581], batch loss: 0.78357, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01057,
