Using CUDA...
Writing logs to logs/CNN_bn_epochs=50_dropout=0.5_bs=32_optim=SGD_decay=0.01_lr=0.001_momentum=0.9_mode=MLMC_run_4
epoch: [0], step: [299/1581], batch loss: 1.79248, batch accuracy: 37.50, data load time: 0.00026, step time: 0.01186,
epoch: [0], step: [599/1581], batch loss: 1.60239, batch accuracy: 46.88, data load time: 0.00025, step time: 0.01158,
epoch: [0], step: [899/1581], batch loss: 1.88448, batch accuracy: 40.62, data load time: 0.00025, step time: 0.01418,
epoch: [0], step: [1199/1581], batch loss: 1.49079, batch accuracy: 46.88, data load time: 0.00032, step time: 0.01233,
epoch: [0], step: [1499/1581], batch loss: 1.40295, batch accuracy: 56.25, data load time: 0.00025, step time: 0.01158,
epoch: [1], step: [218/1581], batch loss: 0.90953, batch accuracy: 65.62, data load time: 0.00365, step time: 0.01159,
epoch: [1], step: [518/1581], batch loss: 1.65176, batch accuracy: 43.75, data load time: 0.00026, step time: 0.01230,
epoch: [1], step: [818/1581], batch loss: 0.96969, batch accuracy: 68.75, data load time: 0.00025, step time: 0.01407,
epoch: [1], step: [1118/1581], batch loss: 1.20736, batch accuracy: 56.25, data load time: 0.00024, step time: 0.01159,
epoch: [1], step: [1418/1581], batch loss: 0.89180, batch accuracy: 75.00, data load time: 0.00027, step time: 0.01159,
epoch: [2], step: [137/1581], batch loss: 1.05734, batch accuracy: 59.38, data load time: 0.00023, step time: 0.01158,
epoch: [2], step: [437/1581], batch loss: 1.15133, batch accuracy: 65.62, data load time: 0.00025, step time: 0.01978,
epoch: [2], step: [737/1581], batch loss: 0.93115, batch accuracy: 65.62, data load time: 0.00024, step time: 0.01418,
epoch: [2], step: [1037/1581], batch loss: 1.03279, batch accuracy: 65.62, data load time: 0.00027, step time: 0.01241,
epoch: [2], step: [1337/1581], batch loss: 0.97289, batch accuracy: 65.62, data load time: 0.00025, step time: 0.01173,
epoch: [3], step: [56/1581], batch loss: 0.99129, batch accuracy: 75.00, data load time: 0.00024, step time: 0.01158,
epoch: [3], step: [356/1581], batch loss: 0.99070, batch accuracy: 56.25, data load time: 0.00024, step time: 0.01159,
epoch: [3], step: [656/1581], batch loss: 0.90472, batch accuracy: 71.88, data load time: 0.00026, step time: 0.01514,
epoch: [3], step: [956/1581], batch loss: 0.81541, batch accuracy: 81.25, data load time: 0.00403, step time: 0.01324,
epoch: [3], step: [1256/1581], batch loss: 0.71079, batch accuracy: 65.62, data load time: 0.00025, step time: 0.01159,
epoch: [3], step: [1556/1581], batch loss: 1.06359, batch accuracy: 78.12, data load time: 0.00014, step time: 0.01147,
epoch: [4], step: [275/1581], batch loss: 0.82490, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01159,
epoch: [4], step: [575/1581], batch loss: 0.92247, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01181,
epoch: [4], step: [875/1581], batch loss: 0.63911, batch accuracy: 78.12, data load time: 0.00026, step time: 0.01375,
epoch: [4], step: [1175/1581], batch loss: 0.92609, batch accuracy: 59.38, data load time: 0.00025, step time: 0.01901,
epoch: [4], step: [1475/1581], batch loss: 0.47328, batch accuracy: 84.38, data load time: 0.00025, step time: 0.01159,
validation loss: 1.03387, accuracy: 68.68, class_accuracy: [86.44067796610169, 84.21052631578948, 66.66666666666667, 68.14159292035399, 56.779661016949156, 64.22018348623853, 100.0, 71.68141592920354, 54.08163265306123, 64.40677966101696]
class_avg: 71.66291366153811
epoch: [5], step: [194/1581], batch loss: 0.61769, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01383,
epoch: [5], step: [494/1581], batch loss: 0.46431, batch accuracy: 81.25, data load time: 0.00026, step time: 0.01158,
epoch: [5], step: [794/1581], batch loss: 0.91006, batch accuracy: 59.38, data load time: 0.00024, step time: 0.01629,
epoch: [5], step: [1094/1581], batch loss: 0.76063, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01158,
epoch: [5], step: [1394/1581], batch loss: 0.71276, batch accuracy: 71.88, data load time: 0.00026, step time: 0.01156,
epoch: [6], step: [113/1581], batch loss: 0.47664, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01159,
epoch: [6], step: [413/1581], batch loss: 0.64218, batch accuracy: 78.12, data load time: 0.00027, step time: 0.01160,
epoch: [6], step: [713/1581], batch loss: 0.54010, batch accuracy: 75.00, data load time: 0.00025, step time: 0.01216,
epoch: [6], step: [1013/1581], batch loss: 0.78852, batch accuracy: 75.00, data load time: 0.00024, step time: 0.01157,
epoch: [6], step: [1313/1581], batch loss: 1.16205, batch accuracy: 59.38, data load time: 0.00024, step time: 0.01231,
epoch: [7], step: [32/1581], batch loss: 0.61769, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01287,
epoch: [7], step: [332/1581], batch loss: 0.51715, batch accuracy: 71.88, data load time: 0.00027, step time: 0.01872,
epoch: [7], step: [632/1581], batch loss: 0.55389, batch accuracy: 78.12, data load time: 0.00026, step time: 0.01974,
epoch: [7], step: [932/1581], batch loss: 0.49404, batch accuracy: 78.12, data load time: 0.00025, step time: 0.01382,
epoch: [7], step: [1232/1581], batch loss: 0.78664, batch accuracy: 75.00, data load time: 0.00549, step time: 0.01158,
epoch: [7], step: [1532/1581], batch loss: 0.28988, batch accuracy: 93.75, data load time: 0.00020, step time: 0.01157,
epoch: [8], step: [251/1581], batch loss: 0.64796, batch accuracy: 78.12, data load time: 0.00025, step time: 0.01156,
epoch: [8], step: [551/1581], batch loss: 0.50333, batch accuracy: 84.38, data load time: 0.00023, step time: 0.01158,
epoch: [8], step: [851/1581], batch loss: 0.53454, batch accuracy: 84.38, data load time: 0.00399, step time: 0.01234,
epoch: [8], step: [1151/1581], batch loss: 0.81227, batch accuracy: 71.88, data load time: 0.00025, step time: 0.01852,
epoch: [8], step: [1451/1581], batch loss: 0.58931, batch accuracy: 84.38, data load time: 0.00025, step time: 0.01158,
epoch: [9], step: [170/1581], batch loss: 0.58765, batch accuracy: 78.12, data load time: 0.00640, step time: 0.01156,
epoch: [9], step: [470/1581], batch loss: 0.44800, batch accuracy: 84.38, data load time: 0.00026, step time: 0.01159,
epoch: [9], step: [770/1581], batch loss: 0.51730, batch accuracy: 78.12, data load time: 0.00628, step time: 0.01158,
epoch: [9], step: [1070/1581], batch loss: 0.50073, batch accuracy: 87.50, data load time: 0.00026, step time: 0.01158,
epoch: [9], step: [1370/1581], batch loss: 0.51642, batch accuracy: 78.12, data load time: 0.00369, step time: 0.01158,
validation loss: 0.79236, accuracy: 74.51, class_accuracy: [61.016949152542374, 92.10526315789474, 63.24786324786325, 73.45132743362832, 76.27118644067797, 66.05504587155963, 97.14285714285714, 99.11504424778761, 62.244897959183675, 80.50847457627118]
class_avg: 77.1158909230266
epoch: [10], step: [89/1581], batch loss: 0.49270, batch accuracy: 87.50, data load time: 0.00023, step time: 0.01156,
epoch: [10], step: [389/1581], batch loss: 0.28491, batch accuracy: 90.62, data load time: 0.00024, step time: 0.01160,
epoch: [10], step: [689/1581], batch loss: 0.65035, batch accuracy: 75.00, data load time: 0.00024, step time: 0.01343,
epoch: [10], step: [989/1581], batch loss: 0.51012, batch accuracy: 71.88, data load time: 0.00420, step time: 0.01227,
epoch: [10], step: [1289/1581], batch loss: 0.53773, batch accuracy: 78.12, data load time: 0.00043, step time: 0.01285,
epoch: [11], step: [8/1581], batch loss: 0.68524, batch accuracy: 87.50, data load time: 0.00026, step time: 0.02171,
epoch: [11], step: [308/1581], batch loss: 0.38124, batch accuracy: 78.12, data load time: 0.00024, step time: 0.01203,
epoch: [11], step: [608/1581], batch loss: 0.54125, batch accuracy: 78.12, data load time: 0.00024, step time: 0.01327,
epoch: [11], step: [908/1581], batch loss: 0.35254, batch accuracy: 87.50, data load time: 0.00376, step time: 0.01173,
epoch: [11], step: [1208/1581], batch loss: 0.43325, batch accuracy: 78.12, data load time: 0.00027, step time: 0.01184,
epoch: [11], step: [1508/1581], batch loss: 0.29209, batch accuracy: 93.75, data load time: 0.00024, step time: 0.01269,
epoch: [12], step: [227/1581], batch loss: 0.46794, batch accuracy: 75.00, data load time: 0.00023, step time: 0.01156,
epoch: [12], step: [527/1581], batch loss: 0.32965, batch accuracy: 87.50, data load time: 0.00026, step time: 0.01367,
epoch: [12], step: [827/1581], batch loss: 0.59788, batch accuracy: 78.12, data load time: 0.00309, step time: 0.01157,
epoch: [12], step: [1127/1581], batch loss: 0.87885, batch accuracy: 84.38, data load time: 0.00031, step time: 0.01159,
epoch: [12], step: [1427/1581], batch loss: 0.51180, batch accuracy: 81.25, data load time: 0.00025, step time: 0.01170,
epoch: [13], step: [146/1581], batch loss: 0.46622, batch accuracy: 81.25, data load time: 0.00025, step time: 0.01302,
epoch: [13], step: [446/1581], batch loss: 0.55040, batch accuracy: 71.88, data load time: 0.00027, step time: 0.01182,
epoch: [13], step: [746/1581], batch loss: 0.32767, batch accuracy: 84.38, data load time: 0.00025, step time: 0.01240,
epoch: [13], step: [1046/1581], batch loss: 0.45844, batch accuracy: 87.50, data load time: 0.00025, step time: 0.01500,
epoch: [13], step: [1346/1581], batch loss: 0.37312, batch accuracy: 87.50, data load time: 0.00026, step time: 0.01846,
